palabra,word,frase,sentence,palabra_alterna
como,like,"Me encantaría tener un perro como el de mi vecino, que es muy dócil y juguetón.","I would love to have a dog like my neighbor's, who is very docile and playful.",
como,like,Este pastel es tan delicioso como el de la panadería que hay al final de la calle.,This cake is as delicious as the one from the bakery at the end of the street.,
como,no direct translation,Tuve que dejar mi trabajo como consecuencia de no poder compatibilizarlo con mis estudios.,I had to leave my job as a result of not being able to reconcile it with my studies.,
como,no direct translation,La familia tuvo que mudarse a otra ciudad como consecuencia de no poder pagar la hipoteca de la casa.,The family had to move to another city as a result of not being able to pay the mortgage on the house.,
como,no direct translation,"Así como la lluvia es necesaria para el crecimiento de las plantas, la lectura es esencial para el desarrollo mental.","Just as rain is necessary for the growth of plants, reading is essential for mental development.",
como,no direct translation,"El equipo de fútbol espera ganar el partido, así como la afición espera ver un buen espectáculo.","The soccer team hopes to win the game, just as the fans hope to see a good show.",
como,as,"Estaba caminando por el bosque, como si fuera una aventura de exploración.","I was walking through the forest, as if it were an exploration adventure.",
como,as,"Mi gato se comporta como si fuera el rey de la casa, siempre obtiene lo que quiere.","My cat behaves as if he were the king of the house, always getting what he wants.",
como,as,Estaba bailando como si se tratara de una competencia de baile.,I was dancing as if it were a dance competition.,
como,as,"Me desperté temprano como si se tratara de un día normal, pero luego recordé que era mi día libre.","I woke up early as if it were a normal day, but then I remembered it was my day off.",
más,more,Es más guapo que su hermano.,He is more handsome than his brother.,
más,most,Quiero el teléfono más caro.,I want the most expensive phone.,
más,plus,Dos más dos igual a cuatro.,Two plus two equals four.,
más,more,Quiero más dinero.,I want more money.,
más,more,Necesito más tiempo.,I need more time.,
más,more,Quiero más ayuda.,I want more help.,
más,more,Tengo más trabajo que hacer.,I have more work to do.,
más,more,Quiero más información.,I want more information.,
más,more,Tengo más cosas que hacer.,I have more things to do.,
más,more,Quiero más opciones.,I want more options.,
o,or,Quiero ir al cine o a la playa.,I want to go to the movies or to the beach.,
o,or,Tienes que decidir si quieres ir al parque o al museo.,You have to decide whether you want to go to the park or to the museum.,
o,or,Puedes tener la pizza con pepperoni o sin pepperoni.,You can have the pizza with pepperoni or without pepperoni.,
o,or,Tienes que elegir entre ir al gimnasio o al parque.,You have to choose between going to the gym or to the park.,
o,or,¿Prefieres ir al cine o ver una película en casa?,Do you prefer going to the movies or watching a movie at home?,
o,or,Puedes ir en coche o en autobús.,You can go by car or by bus.,
o,or,Tienes que decidir si quieres ir al zoológico o al acuario.,You have to decide whether you want to go to the zoo or to the aquarium.,
o,or,¿Prefieres ir a la piscina o a la playa?,Do you prefer going to the pool or to the beach?,
o,or,Puedes ir en avión o en tren.,You can go by plane or by train.,
o,or,Tienes que elegir entre ir al parque de atracciones o al parque acuático.,You have to choose between going to the amusement park or to the water park.,
o,or,¿Prefieres ir al teatro o al concierto?,Do you prefer going to the theater or to the concert?,
o,or,Puedes ir en bicicleta o a pie.,You can go by bike or on foot.,
o,or,Uno o dos?,One or two?,
pero,but,Me gusta pero es muy caro.,I like it but it is very expensive.,
pero,but,"Pero, ¿por qué tienes que irte?","But, why do you have to leave?",
pero,but,"No puedo creer que hayas hecho eso, pero lo entiendo.","I can't believe you did that, but I understand.",
pero,but,¡Pero qué frío hace afuera!,But it's so cold outside!,
pero,but,"No puedo hacerlo solo, pero sé que lo lograré con tu ayuda.","I can't do it alone, but I know I'll succeed with your help.",
pero,but,"No me gusta la sopa de tomate, pero mi esposo la ama.","I don't like tomato soup, but my spouse loves it.",
pero,but,"Estoy cansado, pero sé que necesito seguir adelante.","I'm tired, but I know I need to keep going.",
pero,but,"No me gusta levantarme temprano, pero sé que es lo mejor para mí.","I don't like getting up early, but I know it's best for me.",
pero,but,"No estoy seguro de lo que quiero hacer con mi vida, pero sé que lo descubriré.","I'm not sure what I want to do with my life, but I know I'll figure it out.",
pero,but,"No sé cómo arreglar esto, pero estoy seguro de que podemos encontrar una solución juntos.","I don't know how to fix this, but I'm sure we can find a solution together.",
pero,but,"No me gusta volar, pero sé que es la forma más rápida de llegar a mi destino.","I don't like flying, but I know it's the fastest way to get to my destination.",
pero,but,"No estoy seguro de si estoy listo para tener hijos, pero sé que es algo a lo que quiero enfrentarme en el futuro.","I'm not sure if I'm ready to have children, but I know it's something I want to face in the future.",
pero,but,"No sé cómo cocinar, pero me gustaría aprender.","I don't know how to cook, but I'd like to learn.",
pero,but,"No sé nada sobre el tema, pero estoy dispuesto a aprender.","I don't know anything about the topic, but I'm willing to learn.",
pero,but,"No me gusta decir adiós, pero sé que es necesario para avanzar.","I don't like saying goodbye, but I know it's necessary to move on.",
pero,but,"Quería ir al cine, pero no se si voy a tener tiempo.","I wanted to go to the movies, but I don't know if I will have time.",
pero,but,"Me gustaría comprar esa camisa, pero no se si tengo suficiente dinero.","I would like to buy that shirt, but I don't know if I have enough money.",
pero,but,"Me encantaría ir a ese concierto, pero no se si puedo conseguir boletos a tiempo.","I would love to go to that concert, but I don't know if I can get tickets in time.",
sus,their,Oriol y Yolanda viven en París con sus dos hijas.,Oriol and Yolanda live in Paris with their two daughters.,
sus,its,El turismo de Dubrovnik y sus monumentos requiere varios días.,The sightseeing of Dubrovnik and its monuments requires several days.,
sus,your,Administrar y almacenar sus datos en la nube.,Manage and store your data in the cloud.,
sus,her,Ella vive en el océano con muchos de sus amigos.,She lives in the ocean with many of her friends.,
sus,their,¿Por qué tienes tantas preguntas sobre sus planes?,Why do you have so many questions about their plans?,
sus,her,Ella está muy enojada con sus amigos por haberle mentido.,She is very angry with her friends for lying to her.,
sus,their,¿Has visto sus fotografías de viajes? Son increíbles.,Have you seen their travel photos? They are amazing.,
sus,their,Los profesores le pidieron a sus estudiantes que trajeran sus libros al siguiente día de clase.,The teachers asked their students to bring their books to the next class.,
sus,his,Mi abuelo siempre habla de sus tiempos de juventud con tanto orgullo.,My grandfather always talks about his youth with so much pride.,
sus,their,Ellos no me dijeron nada sobre sus planes para el fin de semana.,They didn't tell me anything about their plans for the weekend.,
sus,their,¿Te has fijado en sus nuevas zapatillas? Son muy caras.,Have you noticed their new shoes? They are very expensive.,
sus,their,Sus sueños siempre son tan extraños y divertidos.,Their dreams are always so strange and funny.,
sus,their,No estoy seguro de que esté de acuerdo con sus decisiones.,I'm not sure I agree with their decisions.,
sus,her,¿Por qué no le preguntas directamente a ella sobre sus planes?,Why don't you ask her directly about her plans?,
sus,their,Sus ojos son del mismo color que el mar.,Their eyes are the same color as the sea.,
sus,their,Uno de sus hobbies es hacer senderismo.,One of their hobbies is hiking.,
sus,their,Uno de sus amigos es un famoso artista.,One of their friends is a famous artist.,
sus,their,Uno de sus logros más importantes fue terminar sus estudios de posgrado.,One of their most important achievements was completing their graduate studies.,
sus,his,"Mi amigo es muy talentoso en el piano, y de sus habilidades de músico, la más impresionante es su soltura al improvisar.","My friend is very talented at the piano, and of his musical skills, the most impressive is his ease at improvising.",
sus,its,"La casa de mi abuela es muy vieja, y de sus habitaciones, la que más me gusta es la que da al jardín.","My grandmother's house is very old, and of its rooms, the one I like the most is the one that faces the garden.",
sus,its,"La ciudad en la que vivo tiene muchos parques, y de sus parques, el que más me gusta es el que está al lado del río.","The city where I live has many parks, and of its parks, the one I like the most is the one next to the river.",
le,him,Ella le vio en el casino esa noche.,She saw him at the casino that night.,
le,you,El banco le ha dado un dividendo de $100.,The bank has given you a dividend of $100.,
le,he,Manny tomó una foto pero se le perdió la cámara.,Manny took a photo but he lost the camera.,
le,we,Finalmente le añadimos el apio y ponemos sal al gusto.,Finally we add the celery and salt to taste.,
le,her,Sí pero eso no le da una licencia para robar.,Yes but that does not give her a license to steal.,
le,I,Le di un regalo a mi amigo por su cumpleaños.,I gave a gift to my friend for his birthday.,
le,I,Le presté mi libro favorito a mi hermana.,I lent my favorite book to my sister.,
le,no direct translation,Mi abuela le hizo a mi hermano su plato de comida favorito.,My grandmother made my brother his favorite meal.,
le,his,Mi padre le prestó su paraguas a mi tía cuando empezó a llover.,My father lent his umbrella to my aunt when it started raining.,
le,his,No sé que se le habrá pasado por la cabeza cuando tomó esa decisión.,I don't know what must have passed through his mind when he made that decision.,
le,I,¿Qué se le ofrece al señor para beber?,What can I offer the gentleman to drink?,
le,he,"Me da igual lo que se le ocurra, no voy a cambiar de opinión.","It doesn't matter to me what he comes up with, I'm not changing my opinion.",
le,he,No entiendo por qué se le ocurrió hacer eso sin consultarme primero.,I don't understand why he thought of doing that without consulting me first.,
le,I,¿Qué se le ofrece a la señora para comer?,What can I offer the lady to eat?,
le,no direct translation,No se le permite fumar en esta área.,Smoking is not allowed in this area.,
le,no direct translation,No se le puede dejar solo con ese juguete peligroso.,He cannot be left alone with that dangerous toy.,
le,no direct translation,No se le puede permitir continuar comportándose de esta manera.,He cannot be allowed to continue behaving this way.,
le,no direct translation,No entiendo lo que le ha pasado al coche.,I don't understand what has happened to the car.,
le,no direct translation,"No sé lo que le pasa, pero está muy raro últimamente.","I don't know what's wrong with him, but he's been acting very strange lately.",
le,no direct translation,No tengo idea de lo que le puede gustar a mi amigo para su cumpleaños.,I have no idea what my friend might like for his birthday.,
le,no direct translation,Le va a resultar útil esta herramienta en su trabajo.,This tool will be useful for you in your work.,
le,no direct translation,Le va a dar mucha alegría ver a su familia después de tanto tiempo.,It will bring you a lot of joy to see your family after so much time.,
le,no direct translation,Hizo una broma y se le salió el tiro por la culata.,He made a joke and it backfired on him.,
le,no direct translation,Se le olvidó el paraguas en el metro y tuvo que caminar bajo la lluvia.,He forgot his umbrella on the subway and had to walk in the rain.,
le,no direct translation,"No puedo creer que le había dicho eso, fue muy tonto de mi parte.","I can't believe I told him that, it was very stupid of me.",
le,no direct translation,Estaba tan emocionado por el regalo que le había comprado que no pude esperar a dárselo.,I was so excited about the gift I had bought him that I couldn't wait to give it to him.,
ha,has,Ella ha tenido diez años de experiencia en nuestra industria.,She has had ten years of experience in our industry.,
ha,no direct translation,Estoy de acuerdo con lo que se ha discutido en la reunión.,I agree with what was discussed in the meeting.,
ha,no direct translation,Que se ha terminado el trabajo.,That the work has been finished.,
ha,no direct translation,Que se ha roto la ventana.,That the window has been broken.,
ha,has,Ha sido un día muy caluroso hoy.,It has been a very hot day today.,
ha,has,Juan ha terminado su tarea.,Juan has finished his homework.,
ha,has,La compañía ha anunciado una gran expansión.,The company has announced a big expansion.,
ha,has,El niño ha perdido su juguete favorito.,The child has lost his favorite toy.,
ha,has,Ha llovido toda la tarde.,It has been raining all afternoon.,
ha,has,No se ha tomado ninguna decisión sobre el próximo proyecto.,No decision has been made about the next project.,
ha,have,No se ha podido contactar con la persona responsable.,We have not been able to contact the responsible person.,
ha,has,No se ha encontrado ninguna solución al problema.,No solution to the problem has been found.,
ha,has,Se ha convertido en un líder en su campo de trabajo.,He has become a leader in his field of work.,
ha,has,La ciudad se ha convertido en un destino turístico popular.,The city has become a popular tourist destination.,
ha,has,La tecnología se ha convertido en una parte esencial de nuestra vida diaria.,Technology has become an essential part of our daily life.,
me,I,Este es el hotel donde me alojé en Las Vegas.,This is the hotel where I stayed in Las Vegas.,
me,me,Ella me dio las coordenadas.,She gave me the coordinates.,
me,I,Me gusta leer libros de ciencia ficción.,I like reading science fiction books.,
me,I,No me gusta cuando llueve.,I don't like when it rains.,
me,me,Me sorprendió ver a mi amigo en la ciudad.,It surprised me to see my friend in the city.,
me,me,Me dio una idea para mi proyecto.,It gave me an idea for my project.,
me,I,Me he estado ejercitando para mejorar mi salud.,I've been exercising to improve my health.,
me,me,Me ayudaste mucho con mi tarea.,You helped me a lot with my task.,
me,I,Me encanta viajar a diferentes países.,I love traveling to different countries.,
me,no direct translation,A mí me gusta ir al cine.,I like to go to the movies.,
me,no direct translation,A mí me duele la cabeza.,My head hurts.,
me,me,Me parece que va a llover esta tarde.,It seems to me that it's going to rain this afternoon.,
me,me,Me parece que ese plan no es viable.,It seems to me that that plan is not viable.,
me,I,Es importante que no me olvide de comprar pan.,It's important that I don't forget to buy bread.,
me,me,Tengo miedo que no me dejen entrar al edificio si no llevo mi identificación.,I'm afraid that they won't let me into the building if I don't have my ID.,
si,if,"Si lo hago, ¿me ayudarás?","If I do it, will you help me?",
si,if,"Si no llueve, iremos al parque.","If it doesn't rain, we'll go to the park.",
si,if,"Si tienes alguna pregunta, no dudes en preguntar.","If you have any questions, don't hesitate to ask.",
si,if,"Si eres rápido, todavía puedes atrapar el tren.","If you're quick, you can still catch the train.",
si,if,"Si yo fuera rico, viajaría por todo el mundo.","If I were rich, I would travel around the world.",
si,if,"Si no me esfuerzo más, nunca alcanzaré mis metas.","If I don't strive more, I will never reach my goals.",
si,if,"Si me das tu número de teléfono, te llamaré mañana.","If you give me your phone number, I will call you tomorrow.",
si,if,"Si no estudio, no pasaré el examen.","If I don't study, I won't pass the exam.",
si,if,"Si no me crees, pregúntale a cualquiera.","If you don't believe me, ask anyone.",
si,if,"Si vienes temprano, podremos hacer más cosas.","If you come early, we can do more things.",
si,if,No sé si podré ir al cumpleaños de mi amigo esta noche.,I don't know if I will be able to go to my friend's birthday party tonight.,
si,if,"No sé si debería aceptar la oferta de trabajo, necesito pensarlo más.","I don't know if I should accept the job offer, I need to think about it more.",
si,if,Me miró como si fuera un extraterrestre.,He looked at me as if I were an alien.,
si,if,Habla como si fuera un experto en el tema.,He speaks as if he were an expert on the subject.,
sin,without,No sé vivir sin ti.,I can not live without you.,
sin,without,"Sin ti, no sé cómo podría seguir adelante.","Without you, I don't know how I could go on.",
sin,without,"Sin estudiar, es imposible aprobar el examen.","Without studying, it is impossible to pass the exam.",
sin,without,"Sin luz, no podemos ver nada.","Without light, we can't see anything.",
sin,without,"Sin duda, es una de las mejores películas que he visto.","Without a doubt, it is one of the best movies I have ever seen.",
sin,no direct translation,"Sin embargo, todavía hay muchos desafíos por enfrentar.","However, there are still many challenges to be faced.",
sin,without,"Sin comer, no podemos sobrevivir mucho tiempo.","Without food, we can't survive for very long.",
sin,without,"Sin ellos, nunca hubiéramos logrado el éxito.","Without them, we would never have achieved success.",
sin,without,"Sin tu ayuda, no podría haber terminado el proyecto a tiempo.","Without your help, I couldn't have finished the project on time.",
sobre,on,¡No pongas los pies sobre la mesa!,Do not put your feet on the table!,
sobre,about,La conferencia es sobre la tecnología.,The conference is about technology.,
sobre,over,Volamos sobre Cádiz.,We are flying over Cadiz.,
sobre,above,"La cabaña se encuentra a 500 metros sobre el nivel del mar, ofreciendo una vista impresionante.","The cabin is located 500 meters above sea level, offering an impressive view.",
sobre,out of,"El éxito en el examen fue del tres sobre cien, lo cual fue un poco decepcionante.","Success on the exam was 3 out of 100, which was a bit disappointing.",
sobre,about,"El partido comenzará sobre las seis, así que deberías llegar temprano.","The match will start around six, so you should arrive early.",
sobre,upon,El uso de otros materiales es posible sobre acuerdos especiales.,The use of other materials is possible upon special agreements.,
sobre,on,El informe sobre las nuevas tendencias en tecnología ha sido publicado.,The report on new technology trends has been published.,
sobre,on,El libro sobre la historia de la humanidad es muy interesante.,The book on the history of humanity is very interesting.,
sobre,on,El artículo sobre el cambio climático es importante para leer.,The article on climate change is important to read.,
sobre,on,La charla sobre cómo mejorar la salud mental fue muy útil.,The talk on how to improve mental health was very useful.,
sobre,on,La mesa está sobre la alfombra.,The table is on the rug.,
sobre,no direct translation,Los estudiantes debatieron sobre el tema en clase.,The students debated the topic in class.,
sobre,about,El gobierno hizo un anuncio sobre la política económica.,The government made an announcement about economic policy.,
sobre,no direct translation,"El paisaje es hermoso, sobre todo en el otoño.","The landscape is beautiful, especially in the fall.",
sobre,no direct translation,"Es importante cuidar nuestra salud, sobre todo en tiempos de estrés.","It's important to take care of our health, especially during times of stress.",
este,this,"Mi interés en este material es personal, no profesional.","My interest in this material is personal, not professional.",
este,this,Este es el libro que te dije.,This is the book I told you about.,
este,this,Este es mi número de teléfono si necesitas algo.,This is my phone number if you need anything.,
este,this,Este es el lugar donde crecí.,This is the place where I grew up.,
este,this,Este es el último día para entregar el trabajo.,This is the last day to turn in the work.,
este,this,Este es el momento que esperaba para hacerlo.,This is the moment I have been waiting for to do it.,
este,this,"En este momento, no tengo tiempo para hablar contigo.","At the moment, I don't have time to talk to you.",
este,this,"En este momento, estoy ocupado terminando un proyecto para el trabajo.","At the moment, I am busy finishing a project for work.",
este,this,Este tipo de comportamiento no es aceptable en nuestra empresa.,This type of behavior is not acceptable in our company.,
este,this,Este tipo de tecnología es muy avanzada y es difícil de entender.,This type of technology is very advanced and is difficult to understand.,
este,this,"En este caso, creo que lo mejor sería seguir adelante con el plan original.","In this case, I believe the best course of action would be to move forward with the original plan.",
este,this,"En este caso, no puedo ayudarte, pero te recomiendo que hables con alguien más.","In this case, I cannot help you, but I recommend that you talk to someone else.",
ya,already,Ya ha olvidado lo que hiciste.,She has already forgotten what you did.,
ya,you,ya sabes,you know,
ya,now,Ya está disponible.,It is now available.,
ya,no direct translation,"Ya es tarde, deberíamos irnos a casa.","It's already late, we should go home.",
ya,no direct translation,"Ya he terminado el trabajo, lo entregaré mañana.","I have already finished the work, I will hand it in tomorrow.",
ya,no direct translation,"Ya no quiero hablar del tema, estoy cansado de discutirlo.","I don't want to talk about this topic anymore, I'm tired of discussing it.",
ya,no direct translation,"Ya he comido, gracias.","I've already eaten, thank you.",
ya,no direct translation,"Ya me he duchado, ¿y tú?","I've already showered, what about you?",
ya,no direct translation,"Ya conoces las respuestas, solo tienes que confiar en ti mismo.","You already know the answers, you just need to trust yourself.",
ya,no direct translation,Ya casi llegamos a nuestro destino.,We are almost reaching our destination.,
ya,no direct translation,"Ya no tengo ese dinero, lo gasté en otra cosa.","I don't have that money anymore, I spent it on something else.",
ya,no direct translation,Es una situación que ya no tiene solución.,It is a situation that no longer has a solution.,
ya,no direct translation,Es un amigo que ya no veo con tanta frecuencia.,He is a friend that I no longer see as frequently.,
ya,no direct translation,Es una relación que ya no funciona.,It is a relationship that no longer works.,
entre,between,La torre de Illetes fue construida entre 1577 y 1597.,The tower of Illetes was built between 1577 and 1597.,
entre,among,El parque es muy popular tanto entre turistas y ciudadanos.,The park is very popular both among tourists and citizens.,
entre,I enter,¿Qué ocurrirá cuando entre este código?,What happens when I enter this code?,
entre,between,"Entre tú y yo, creo que ella está equivocada.","Between you and me, I think she's wrong.",
entre,among,"Entre mis amigos, soy conocido por ser una persona divertida.","Among my friends, I'm known for being a fun person.",
entre,among,Entre los idiomas que hablo están español e inglés.,Among the languages I speak are Spanish and English.,
entre,among,Entre mis pasatiempos favoritos está viajar.,Among my hobbies is traveling.,
entre,between,"Entre el trabajo y la familia, me queda poco tiempo libre.","Between work and family, I have little free time.",
entre,among,Entre mis metas a largo plazo está comprar una casa.,Among my long-term goals is buying a house.,
entre,among,"Entre las opciones que tienes, ¿cuál es tu preferida?","Among the options you have, which is your favorite?",
entre,among,"Entre las comidas del día, el almuerzo es mi favorita.","Among the meals of the day, lunch is my favorite.",
entre,among,"Entre los que estuvieron en la reunión, algunos estaban en desacuerdo con la propuesta.","Among those who were at the meeting, some disagreed with the proposal.",
entre,among,"Entre los que fueron elegidos para el equipo, yo soy el menos experimentado.","Among those who were chosen for the team, I am the least experienced.",
cuando,when,En primavera es cuando las flores florecen.,Spring is when the flowers bloom.,
cuando,when,"Cuando era joven, soñaba con viajar por el mundo.","When I was young, I dreamed of traveling the world.",
cuando,when,"Cuando termines el trabajo, podremos salir a celebrar.","When you finish the work, we can go out to celebrate.",
cuando,when,"Cuando llegué a la fiesta, todos ya se habían ido.","When I arrived at the party, everyone had already left.",
cuando,when,"Cuando me di cuenta de mi error, ya era demasiado tarde.","When I realized my mistake, it was already too late.",
cuando,when,"Cuando esté listo, vuelve a llamarme.","When you're ready, call me back.",
cuando,when,"Cuando estaba en el colegio, era muy tímido.","When I was in college, I was very shy.",
cuando,when,"Cuando tenga tiempo, quiero leer ese libro.","When I have time, I want to read that book.",
cuando,when,"Cuando vayas al supermercado, ¿puedes comprar leche?","When you go to the supermarket, can you buy milk?",
todo,everything,No todo lo que brilla es oro.,Not everything that shines is gold.,
todo,everything,No se puede tener todo en la vida.,You can't have everything in life.,
todo,everything,Hay algo en todo lo que hacemos.,There's something in everything we do.,
todo,everything,Todo es mejor en grande.,Everything is better in large.,
todo,everything,Es importante tener todo en su lugar.,It's important to have everything in place.,
todo,all,Todo el esfuerzo vale la pena.,All effort is worth it.,
todo,everything,La paciencia es una virtud y todo llega a su tiempo.,Patience is a virtue and everything comes in its time.,
todo,everything,Todo es cuestión de equilibrio.,Everything is a matter of balance.,
todo,every,No hay nada como una sonrisa en todo momento.,There's nothing like a smile in every moment.,
todo,no direct translation,Todo el mundo tiene un papel en esta vida.,Everyone has a role in this life.,
todo,every,No hay nada como el amor verdadero en todo momento.,There's nothing like true love in every moment.,
